latitude,longitude,average_label
32.73302493,-97.1131402,1.0
32.73319688,-97.11314066,1.0
32.73323857,-97.11308902,1.0
32.73331353,-97.11316077,1.0
32.73337711,-97.11319555,1.0
32.73347193,-97.11320119,1.0
32.73353234,-97.11324131,1.0
32.73355206,-97.11319463,1.0
32.73363674,-97.1131902,1.0
32.73361886,-97.11319613,1.0
32.73357608,-97.11321343,1.0
32.73361253,-97.11320852,1.0
32.73363116,-97.11320239,1.0
32.7336445,-97.1131988,1.0
32.7336691,-97.11319338,1.0
32.7336771,-97.11318914,1.0
32.73368942,-97.11318211,2.5889145496535795
32.73370133,-97.11317807,3.0
32.73370809,-97.11317183,3.0
32.73371189,-97.11315895,3.0
32.73371057,-97.11314347,3.0
32.73370305,-97.11312337,2.227272727272727
32.73369535,-97.11309507,1.0
32.73369199,-97.11306368,1.0
32.73368496,-97.11303076,1.0
32.73368291,-97.11299801,1.0
32.73368062,-97.11296591,1.0
32.73368137,-97.11293602,1.0
32.73368236,-97.11289827,1.0
32.73368594,-97.11286001,1.0
32.73368212,-97.11282049,1.0
32.73367795,-97.11277964,1.0
32.73367408,-97.11273953,1.0
32.73367087,-97.11269734,1.0
32.73366959,-97.11265588,1.0
32.73367203,-97.11261444,1.0
32.73367399,-97.11256959,1.0
32.73367385,-97.11252468,1.0
32.73367534,-97.11247879,1.0
32.73367795,-97.11243684,1.0
32.7336789,-97.11238886,1.0
32.73367744,-97.11234595,1.0
32.73367652,-97.11229684,1.0
32.73367713,-97.1122483,1.0
32.73367727,-97.11219687,1.0
32.73367912,-97.11214522,1.0
32.73367962,-97.11209416,1.0
32.73367793,-97.11204432,1.0
32.73367627,-97.11199147,1.4738041002277904
32.73367467,-97.11194055,2.0
32.73367471,-97.1118937,2.0
32.73367467,-97.1118547,2.0
32.73367449,-97.11181731,2.0
32.73367293,-97.11177563,2.0
32.73367282,-97.11173309,2.0
32.73367568,-97.11169646,2.0
32.7336749,-97.11166918,2.0
32.73367497,-97.11163915,2.0
32.73367119,-97.11160519,2.0
32.73367225,-97.1115697,2.6919642857142856
32.73367289,-97.1115343,3.0
32.73367163,-97.11149995,3.0
32.73366937,-97.11146508,3.0
32.73366932,-97.11142933,3.0
32.73366959,-97.1113913,2.7312072892938497
32.73366941,-97.11135281,2.0
32.73366918,-97.11131333,2.0
32.73366999,-97.11127399,2.0
32.73367054,-97.1112349,2.0
32.73367141,-97.11119694,2.0
32.73367266,-97.11116614,2.907621247113164
32.73367446,-97.11113734,3.0
32.73367735,-97.11110698,3.0
32.73367916,-97.11107633,3.0
32.73367907,-97.11105164,3.0
32.73367203,-97.11103548,1.938496583143508
32.73365576,-97.11103382,1.0
32.73364775,-97.11104188,1.0
32.73364615,-97.11105182,1.0
32.73364481,-97.111065,1.0
32.73364429,-97.11108175,1.1741071428571428
32.73364337,-97.11109522,2.0
32.73364472,-97.11110948,2.0
32.73364724,-97.1111269,2.0
32.7336497,-97.1111429,2.0
32.7336488,-97.11116035,2.0
32.73364539,-97.11118089,1.2022727272727274
32.73364542,-97.11120211,1.0
32.73364857,-97.11121743,1.0
32.73365336,-97.11123502,1.0
32.73365888,-97.11125713,1.0
32.73366038,-97.11128053,1.847380410022779
32.73365847,-97.11130549,3.0
32.73365638,-97.11133581,3.0
32.73365424,-97.11136153,3.0
32.73365242,-97.11138683,3.0
32.73365029,-97.11141305,2.9635535307517085
32.73364784,-97.11143684,1.0
32.7336474,-97.1114623,1.0
32.73364701,-97.11148848,1.0
32.73364728,-97.11151086,1.0
32.733646,-97.11154032,1.0
32.73364357,-97.11156913,1.643835616438356
32.73364235,-97.11160281,2.0
32.73364211,-97.1116361,2.0
32.73364278,-97.11166447,2.0
32.73364347,-97.11169014,2.0
32.73364283,-97.11171406,2.0
32.73364444,-97.1117338,2.0
32.73365312,-97.11174519,2.0
32.73366003,-97.11174645,2.0
32.73366283,-97.1117462,2.0
32.73366594,-97.11174789,2.0
32.73366726,-97.11174689,1.0818181818181818
32.7336677,-97.11174514,1.0
32.73367136,-97.11174344,1.0
32.7336748,-97.11174183,1.0
32.73367661,-97.11174029,1.0
32.73367915,-97.11173687,1.0
32.73368272,-97.11173424,1.0
32.73368993,-97.11173133,1.0
32.7336952,-97.1117274,1.0
32.73369585,-97.11172057,1.0
32.73369452,-97.11170913,1.3227272727272728
32.73369085,-97.1116908,3.0
32.7336867,-97.11166872,3.0
32.73368253,-97.11164112,3.0
32.73368021,-97.11160986,3.0
32.73367995,-97.11157621,3.0
32.73368105,-97.11154032,1.4424379232505644
32.73368073,-97.11150267,1.0
32.73367781,-97.11146374,1.0
32.73367327,-97.11142341,1.0
32.73367126,-97.1113832,1.0
32.73367069,-97.11134252,1.3839285714285714
32.73366951,-97.11129991,2.0
32.73366777,-97.11125512,2.0
32.73366733,-97.1112103,2.0
32.73366549,-97.11116426,2.0
32.73366379,-97.11111684,2.0
32.73366297,-97.11107009,2.0
32.73366153,-97.11102358,2.0
32.73366012,-97.11097712,2.0
32.73365713,-97.11093161,2.0
32.7336549,-97.11088607,2.0
32.73365494,-97.11084029,1.3958333333333333
32.73365586,-97.11079477,1.0
32.73365582,-97.1107487,1.0
32.73365455,-97.11070231,1.0
32.73365331,-97.11065484,1.0
32.73365378,-97.11060755,1.0
32.73365564,-97.1105597,1.0
32.73365705,-97.11051092,1.0
32.73365784,-97.1104601,1.0
32.73365887,-97.11040859,1.0
32.73366122,-97.11035835,1.0
32.73366458,-97.11030728,1.9084821428571428
32.73366733,-97.1102555,2.0
32.73366894,-97.11020385,2.0
32.73367052,-97.11015179,2.0
32.73367165,-97.11010068,2.0
32.73367268,-97.11004921,1.4426229508196722
32.73367395,-97.10999662,1.0
32.73367602,-97.10994342,1.0
32.73367851,-97.10989093,1.0
32.73368309,-97.10983932,1.0
32.73368693,-97.10979554,1.3470319634703196
32.73368844,-97.10976266,3.0
32.73368412,-97.10973438,3.0
32.73366982,-97.10970466,3.0
32.73364982,-97.10967976,3.0
32.73362592,-97.10966641,3.0
32.73359838,-97.10966351,1.34624145785877
32.73357068,-97.10967039,1.0
32.73354319,-97.10968657,1.0
32.73351557,-97.10970736,1.0
32.73348878,-97.10972889,1.0
32.73346001,-97.10975105,1.4410377358490567
32.73342887,-97.10977245,2.0
32.73339872,-97.109793,2.0
32.73336995,-97.10981328,2.0
32.73334196,-97.10983171,2.0
32.73331261,-97.10984888,1.9196428571428568
32.73328122,-97.10986474,1.0
32.7332486,-97.10987915,1.0
32.73321431,-97.10988985,1.0
32.73318013,-97.10989531,1.0
32.73314547,-97.10989691,1.0
32.73311044,-97.10989491,1.7178899082568808
32.73307587,-97.10989172,2.0
32.73304154,-97.10989028,2.0
32.73300754,-97.10989201,2.0
32.73297424,-97.10989701,2.0
32.73294478,-97.10991162,1.6614699331848553
32.73292226,-97.10993805,1.0
32.73290749,-97.10997214,1.0
32.73289987,-97.1100113,1.0
32.73289962,-97.11005021,1.0
32.73290333,-97.11008801,1.0136054421768708
32.73290438,-97.11012355,2.0
32.7329043,-97.11015902,2.0
32.73290508,-97.11019247,2.0
32.73290609,-97.11022589,2.0
32.73290502,-97.11025783,2.0
32.73290505,-97.11029169,1.3536299765807962
32.73290733,-97.11032465,1.0
32.73291073,-97.11035716,1.0
32.73291447,-97.11038774,1.0
32.73291946,-97.11041815,1.0
32.73291944,-97.11044691,1.518348623853211
32.73291841,-97.11047654,3.0
32.73292089,-97.11050885,3.0
32.73292455,-97.11054216,3.0
32.73292503,-97.11057598,3.0
32.7329226,-97.11061167,3.0
32.73291992,-97.11064898,3.0
32.73291738,-97.11068755,3.0
32.73291437,-97.11072526,3.0
32.73291757,-97.11076109,3.0
32.73292309,-97.11079541,3.0
32.7329288,-97.11082811,2.0585480093676813
32.73292896,-97.1108595,1.0
32.7329264,-97.11088886,1.0
32.73292901,-97.11091554,1.0
32.73293266,-97.11094121,1.0
32.73294382,-97.11096438,1.2227272727272729
32.73295902,-97.11098401,3.0
32.73298033,-97.11099317,3.0
32.73300468,-97.11099115,3.0
32.73303301,-97.11098309,3.0
32.73306289,-97.11097475,3.0
32.73309449,-97.11097283,3.0
32.73312542,-97.11096865,3.0
32.73315639,-97.11096352,3.0
32.73318618,-97.11096183,3.0
32.73321684,-97.11095577,3.0
32.73324824,-97.11095203,2.340961098398169
32.73328,-97.11095287,1.0
32.73331088,-97.11095024,1.0
32.73334234,-97.11094675,1.0
32.73337474,-97.11094433,1.0
32.73340678,-97.11094132,1.0
32.7334389,-97.11094043,2.8783783783783785
32.73347013,-97.11093873,3.0
32.73350133,-97.11093567,3.0
32.73353225,-97.11093053,3.0
32.73355984,-97.11092681,3.0
32.73358246,-97.11092331,2.477064220183486
32.73360312,-97.11092075,2.0
32.73362202,-97.11091865,2.0
32.73363277,-97.11092185,2.0
32.73363737,-97.11092337,2.0
32.7336421,-97.11092089,2.0
32.73364458,-97.11091929,2.0
32.7336469,-97.1109165,2.0
32.73364784,-97.11091546,2.0
32.73364959,-97.11091311,2.0
32.7336583,-97.11092415,2.0
32.73366895,-97.11093587,1.1593533487297922
32.73368082,-97.11094518,1.0
32.73369726,-97.11095604,1.0
32.73372065,-97.11096784,1.0
32.73374502,-97.11098614,1.0
32.73376142,-97.11101528,1.4660633484162895
32.73376986,-97.11105008,2.0
32.73377377,-97.11108729,2.0
32.73377363,-97.11112252,2.0
32.73377441,-97.11115859,2.0
32.73377436,-97.11119587,2.0856481481481484
32.7337734,-97.11123248,3.0
32.73377311,-97.11126634,3.0
32.73377582,-97.11129871,3.0
32.7337759,-97.11133046,3.0
32.73377331,-97.11136107,3.0
32.73377261,-97.11139018,1.5945945945945943
32.73377431,-97.1114207,1.0
32.73377566,-97.11145123,1.0
32.73377652,-97.11148275,1.0
32.7337763,-97.11151386,1.0
32.73377495,-97.11154384,1.0
32.73377465,-97.11157287,1.0
32.73377641,-97.11160304,1.0
32.73377595,-97.11163364,1.0
32.73377375,-97.11166295,1.0
32.73377454,-97.11169291,1.0
32.73377619,-97.11172271,1.963386727688787
32.73377638,-97.11175296,2.0
32.73377571,-97.11178368,2.0
32.73377534,-97.11181387,2.0
32.73377413,-97.11184287,2.0
32.73377132,-97.1118724,2.0
32.73376968,-97.11190236,2.0
32.73377277,-97.11193083,2.0
32.73377205,-97.11195971,2.0
32.73377097,-97.11199004,2.0
32.73377183,-97.11202208,1.7669683257918551
32.7337724,-97.1120548,1.0
32.73377005,-97.11208664,1.0
32.73376801,-97.11211802,1.0
32.73377014,-97.11215004,1.0
32.73376909,-97.11218072,1.0
32.73376709,-97.11221108,1.0
32.73376294,-97.11223989,1.0
32.73376392,-97.11226884,1.0
32.7337641,-97.11229905,1.0
32.73376225,-97.11233056,1.0
32.7337645,-97.1123614,1.5714285714285714
32.73376671,-97.11239063,2.0
32.733764,-97.11241689,2.0
32.73376271,-97.11244329,2.0
32.73376219,-97.11247045,2.0
32.73376371,-97.11249856,2.0
32.7337655,-97.11252757,2.0
32.73376604,-97.11255704,2.0
32.73376421,-97.11258701,2.0
32.73376219,-97.11261443,2.0
32.7337662,-97.11264136,2.0
32.73376655,-97.11266776,2.846846846846846
32.73376673,-97.11269413,3.0
32.73376739,-97.11272088,3.0
32.73376569,-97.11274749,3.0
32.7337637,-97.11277307,3.0
32.73376182,-97.11280034,3.0
32.73376122,-97.11282693,3.0
32.73376295,-97.11285368,3.0
32.73377238,-97.11287723,3.0
32.733793,-97.1128897,3.0
32.73381812,-97.11289536,2.786191536748329
32.73384336,-97.11289779,1.0
32.73387142,-97.11289957,1.0
32.73389816,-97.11290104,1.0
32.73392261,-97.11289959,1.0
32.73394799,-97.11289332,1.0
32.73397395,-97.1128845,1.0
32.73400028,-97.112877,1.0
32.73402761,-97.11287292,1.0
32.734054,-97.11287449,1.0
32.73407946,-97.11288124,1.0
32.73410372,-97.11288646,1.0
32.73412733,-97.11288568,1.0
32.7341532,-97.11288385,1.0
32.73418107,-97.11287979,1.0
32.73420986,-97.11287367,1.0
32.73423884,-97.11287114,1.4705882352941178
32.73426721,-97.11287269,2.0
32.73429542,-97.11287438,2.0
32.73432357,-97.1128738,2.0
32.73435206,-97.11287395,2.0
32.73437975,-97.11287063,2.0
32.73440769,-97.11286728,2.0
32.7344367,-97.11286436,2.0
32.73446684,-97.11286365,2.0
32.73449652,-97.11286618,2.0
32.73452511,-97.11287147,2.1507760532150777
32.73455313,-97.11287549,3.0
32.73458051,-97.11287801,3.0
32.73460803,-97.11287745,3.0
32.73463626,-97.11287414,3.0
32.73466416,-97.11287345,2.9912087912087912
32.73469049,-97.11287633,2.0
32.73471598,-97.1128772,2.0
32.73474254,-97.11287519,2.0
32.73476999,-97.11287272,2.0
32.73479848,-97.1128711,2.0
32.73482717,-97.11286958,1.1123110151187905
32.73485401,-97.1128749,1.0
32.73488188,-97.11287306,1.0
32.73490922,-97.11287736,1.0
32.73493364,-97.11289068,1.0
32.73495252,-97.11291287,1.0
32.73495961,-97.1129455,1.0
32.73496826,-97.11297693,1.0
32.73498209,-97.11300565,1.0
32.73499214,-97.1130361,1.0
32.7349925,-97.1130688,1.60352422907489
32.73498855,-97.11310085,2.0
32.73497602,-97.11312943,2.0
32.73495177,-97.11314751,2.0
32.73492443,-97.11315885,2.0
32.73489588,-97.11316356,1.5357917570498916
32.73486706,-97.1131659,1.0
32.73483814,-97.11316473,1.0
32.73480882,-97.11316962,1.0
32.73477832,-97.11317331,1.0
32.73474699,-97.11317446,1.3433476394849786
32.73471577,-97.11317426,2.0
32.73468521,-97.11316896,2.0
32.73465445,-97.1131604,2.0
32.73462368,-97.11315255,2.0
32.73459397,-97.11315322,2.0
32.73456494,-97.11316121,2.0
32.7345372,-97.11317105,2.0
32.73450944,-97.11317642,2.0
32.73448244,-97.11317506,2.0
32.73445484,-97.1131671,1.934640522875817
32.73442596,-97.11316317,1.0
32.73439811,-97.11316361,1.0
32.73436945,-97.11316706,1.0
32.7343415,-97.11317391,1.0
32.73431329,-97.11317916,1.0
32.73428413,-97.11317939,1.9244060475161988
32.7342544,-97.11317937,2.0
32.73422508,-97.11318211,2.0
32.73419704,-97.11318101,2.0
32.73416942,-97.1131771,2.0
32.73414329,-97.11317444,2.0
32.73411808,-97.11317836,2.0
32.73409291,-97.1131807,2.0
32.73406609,-97.11318008,2.0
32.73403898,-97.1131801,2.0
32.73401221,-97.11317966,1.3232104121475057
32.73398489,-97.11318155,1.0
32.73395825,-97.1131873,1.0
32.73393566,-97.11319966,1.0
32.73391696,-97.11321847,1.0
32.73390527,-97.11324571,1.572961373390558
32.73390018,-97.11327581,2.0
32.73389772,-97.11330976,2.0
32.73389851,-97.11334338,2.0
32.7338999,-97.1133775,2.0
32.73389644,-97.11341041,2.0
32.73389088,-97.11344058,2.0
32.73388826,-97.11347002,2.0
32.73389163,-97.11349858,2.0
32.73389953,-97.11352595,2.0
32.73390731,-97.11355544,2.0
32.733912,-97.1135893,2.0
32.73391346,-97.11362173,2.0
32.73391533,-97.11365374,2.0
32.73391689,-97.11368499,2.0
32.73391448,-97.11371801,2.0
32.73390973,-97.11374921,2.0
32.73390772,-97.11377479,2.0
32.73390565,-97.11380534,2.0
32.73389981,-97.11383567,2.0
32.73389411,-97.11386592,2.036480686695279
32.73388443,-97.11389249,3.0
32.73387613,-97.11390608,3.0
32.73387042,-97.11391066,3.0
32.73386492,-97.11390666,3.0
32.73386082,-97.11389875,3.0
32.73385656,-97.11388707,3.0
32.73385485,-97.11387208,3.0
32.73385308,-97.11385778,3.0
32.73385152,-97.11384161,3.0
32.7338472,-97.11382001,3.0
32.73384643,-97.11379483,2.2332613390928726
32.73384687,-97.11377162,2.0
32.73384762,-97.1137466,2.0
32.73384217,-97.11371141,2.0
32.73384011,-97.11367902,2.0
32.73383975,-97.11364613,1.4043956043956043
32.73383755,-97.11361821,1.0
32.73383598,-97.1135889,1.0
32.73383138,-97.11356456,1.0
32.73382574,-97.11354147,1.0
32.73382529,-97.1135111,1.4427312775330396
32.73382915,-97.11347795,2.0
32.73383177,-97.11344863,2.0
32.73383376,-97.11342155,2.0
32.73383682,-97.1133991,2.0
32.73383986,-97.11337063,2.0
32.73384312,-97.11333861,2.0
32.73384492,-97.11330653,2.0
32.73384386,-97.11327395,2.0
32.73384035,-97.11324274,2.0
32.73383247,-97.11321267,2.0
32.7338236,-97.11318647,2.0
32.73381359,-97.11315684,2.0
32.73381259,-97.11312484,2.0
32.73382531,-97.11309602,2.0
32.73384427,-97.11306878,2.0
32.73386428,-97.11304321,2.0
32.73388643,-97.1130186,2.0
32.73391444,-97.11299883,2.0
32.73394819,-97.11299126,2.0
32.73398224,-97.11299651,2.0
32.73401438,-97.1130046,2.923595505617977
32.73404661,-97.1130056,3.0
32.73407963,-97.1130026,3.0
32.7341119,-97.11300222,3.0
32.73414351,-97.11299973,3.0
32.73417471,-97.11300096,1.4934497816593886
32.73420441,-97.11300904,1.0
32.7342339,-97.11301666,1.0
32.73426452,-97.11301826,1.0
32.73429546,-97.11301496,1.0
32.73432564,-97.11300477,1.5869565217391304
32.73435619,-97.11300171,2.0
32.73438647,-97.11300511,2.0
32.73441782,-97.11300743,2.0
32.73445025,-97.11300109,2.0
32.73448254,-97.112998,2.0
32.73451319,-97.11299751,2.0
32.73454318,-97.11299949,2.0
32.73457277,-97.11299993,2.0
32.73460192,-97.11300092,2.0
32.73463139,-97.11299416,2.0
32.73465949,-97.11298854,2.0
32.73468843,-97.11298257,2.0
32.73471832,-97.11298114,2.0
32.73474601,-97.11298782,2.0
32.73477145,-97.11299761,2.0
32.73479575,-97.11299749,2.0
32.73482131,-97.11299191,2.0
32.73484855,-97.11299301,2.0
32.73487672,-97.11299832,2.0
32.7349045,-97.11300203,2.054585152838428
32.73493013,-97.11300341,3.0
32.73495454,-97.11300878,3.0
32.734977,-97.11302365,3.0
32.73499169,-97.11305437,3.0
32.73499841,-97.11308704,3.0
32.7350022,-97.11312094,1.1806451612903226
32.73499577,-97.11315683,1.0
32.73499354,-97.11319288,1.0
32.73499445,-97.11322924,1.0
32.73499798,-97.11326492,1.0
32.73500597,-97.11329902,1.0
32.73501018,-97.11333297,1.0
32.73500716,-97.11336668,1.0
32.73500407,-97.11339948,1.0
32.73499969,-97.11342952,1.0
32.73499512,-97.1134542,1.0
32.73500228,-97.11348042,1.0
32.73501068,-97.11351056,1.0
32.73501463,-97.11354267,1.0
32.73501274,-97.11357715,1.0
32.73501102,-97.11361393,1.4890350877192982
32.73500834,-97.11364981,2.0
32.73500511,-97.11368477,2.0
32.73500575,-97.11372072,2.0
32.73500481,-97.11375581,2.0
32.7350054,-97.11379008,2.3681917211328978
32.73500694,-97.11382159,3.0
32.735007,-97.11385781,3.0
32.73500714,-97.11389274,3.0
32.73500854,-97.11392698,3.0
32.73500702,-97.11396152,3.0
32.735005,-97.11399635,3.0
32.73500427,-97.11402944,3.0
32.73500423,-97.11406226,3.0
32.73500464,-97.11409307,3.0
32.73500379,-97.1141241,2.8034934497816595
32.73500385,-97.11415515,1.0
32.7350072,-97.1141859,1.0
32.73501386,-97.11421482,1.0
32.73502297,-97.11424073,1.0
32.73503583,-97.11426203,1.0
32.73505389,-97.11427487,1.93058568329718
32.73507656,-97.1142731,2.0
32.73509728,-97.1142563,2.0
32.73511242,-97.11422755,2.0
32.73511638,-97.11419123,2.0
32.73511165,-97.11415315,2.0
32.73510604,-97.11411513,2.0
32.73510404,-97.11407749,2.0
32.73510467,-97.11403915,2.0
32.73510804,-97.11400056,2.0
32.73511562,-97.11396346,1.334061135371179
32.73511618,-97.11392552,1.0
32.73511189,-97.11388742,1.0
32.73510716,-97.11384925,1.0
32.73510315,-97.11381065,1.0
32.73510235,-97.11377234,1.0
32.73510706,-97.11373461,1.0
32.73510921,-97.113698,1.0
32.73510876,-97.11366275,1.0
32.73510162,-97.11362894,1.0
32.7350979,-97.11359432,1.4396551724137931
32.73509218,-97.11356284,2.0
32.73508539,-97.11353923,2.0
32.73508502,-97.11351821,2.0
32.73508443,-97.11349694,2.0
32.735064,-97.11348254,2.321814254859611
32.73504678,-97.11347807,3.0
32.73504383,-97.1134794,3.0
32.73503795,-97.11347995,3.0
32.7350271,-97.11348271,3.0
32.73501095,-97.11348237,3.0
32.73498946,-97.11348588,3.0
32.73496355,-97.11348736,3.0
32.7349352,-97.11349407,3.0
